language,x,y
Mansaka,126.1601,7.28
Chavacano,122.0318,7.0362
Romblomanon,122.5741,12.4086
Ivatan,121.9454,20.3815
Spanish,-3.5465,40.3952
English,-0.2397,52.2486
Kapampangan,120.3393,15.3912
Waray,125.0539,11.9388
Pangasinan,120.3852,15.962
Tagalog,121.1581,14.6678
Yami,121.5444,22.05
Cebuano,124.4179,8.448
Ilokano,120.9751,15.9247
Tausug,121.127,5.9765
Ilonggo,123.2482,10.7304
Bikolano,123.4033,13.7557
